ID,Other ID,Name,Type,Distance (kly),Constellation,Mag
M1,NGC 1952,Crab Nebula,Neb-SN,4.9-8.1,Taurus,8.4
M2,NGC 7089,,cl-G,33,Aquarius,6.3
M3,NGC 5272,,cl-G,33.9,Canes Venatici,6.2
M4,NGC 6121,,cl-G,7.2,Scorpius,5.9
M5,NGC 5904,,cl-G,24.5,Serpens,6.7
M6,NGC 6405,Butterfly Cluster,cl-O,1.6,Scorpius,4.2
M7,NGC 6475,Ptolemy Cluster,cl-O,0.65-1.31,Scorpius,3.3
M8,NGC 6523,Lagoon Nebula,Neb & cl,4.1,Sagittarius,6.0
M9,NGC 6333,,cl-G,25.8,Ophiuchus,8.4
M10,NGC 6254,,cl-G,14.3,Ophiuchus,6.4
M11,NGC 6705,Wild Duck Cluster,cl-O,6.2,Scutum,6.3
M12,NGC 6218,,cl-G,15.7,Ophiuchus,7.7
M13,NGC 6205,Great GC in Hercules,cl-G,22.2,Hercules,5.8
M14,NGC 6402,,cl-G,30.3,Ophiuchus,8.3
M15,NGC 7078,,cl-G,33,Pegasus,6.2
M16,NGC 6611,Eagle Nebula,Neb-HII & cl,7,Serpens,6.0
M17,NGC 6618,Omega/Swan/Horseshoe/Lobster Nebula,Neb-HII & cl,5-6,Sagittarius,6.0
M18,NGC 6613,,cl-O,4.9,Sagittarius,7.5
M19,NGC 6273,,cl-G,28.7,Ophiuchus,7.5
M20,NGC 6514,Trifid Nebula,Neb-HII & cl,5.2,Sagittarius,6.3
M21,NGC 6531,,cl-O,4.25,Sagittarius,6.5
M22,NGC 6656,Sagittarius Cluster,cl-G,9.6-11.6,Sagittarius,5.1
M23,NGC 6494,,cl-O,2.15,Sagittarius,6.9
M24,IC 4715,Small Sagittarius Star Cloud,MW star cloud,~10,Sagittarius,2.5
M25,IC 4725,,cl-O,2.0,Sagittarius,4.6
M26,NGC 6694,,cl-O,5.0,Scutum,8.0
M27,NGC 6853,Dumbbell Nebula,Neb-P,1.148-1.52,Vulpecula,7.5
M28,NGC 6626,,cl-G,17.9,Sagittarius,7.7
M29,NGC 6913,Cooling Tower,cl-O,7.2,Cygnus,7.1
M30,NGC 7099,,cl-G,27.8-31,Capricornus,7.7
M31,NGC 224,Andromeda Galaxy,gal-S,2430-2650,Andromeda,3.4
M32,NGC 221,Small Andromeda Galaxy,gal-dE,2410-2570,Andromeda,8.1
M33,NGC 598,Triangulum/Pinwheel Galaxy,gal-S,2380-3070,Triangulum,5.7
M34,NGC 1039,,cl-O,1.5,Perseus,5.5
M35,NGC 2168,,cl-O,2.8,Gemini,5.3
M36,NGC 1960,,cl-O,4.1,Auriga,6.3
M37,NGC 2099,,cl-O,4.511,Auriga,6.2
M38,NGC 1912,Starfish Cluster,cl-O,4.2,Auriga,7.4
M39,NGC 7092,,cl-O,0.8244,Cygnus,5.5
M40,,Winnecke-4,Star System,0.51,Ursa Major,9.7
M41,NGC 2287,,cl-O,2.3,Canis Major,4.5
M42,NGC 1976,Orion Nebula,Neb-HII,1.324-1.364,Orion,4.0
M43,NGC 1982,De Mairan's Nebula,Neb-HII,1.6,Orion,9.0
M44,NGC 2632,Beehive Cluster or Praesepe,cl-O,0.577,Cancer,3.7
M45,,Pleiades,cl-O,0.39-0.46,Taurus,1.6
M46,NGC 2437,,cl-O,5.4,Puppis,6.1
M47,NGC 2422,,cl-O,1.6,Puppis,4.2
M48,NGC 2548,,cl-O,1.5,Hydra,5.5
M49,NGC 4472,,gal-E,53600-58200,Virgo,9.4
M50,NGC 2323,,cl-O,3.2,Monoceros,5.9
M51,NGC 5194 & NGC 5195,Whirlpool Galaxy,gal-S,19000-27000,Canes Venatici,8.4
M52,NGC 7654,,cl-O,5.0,Cassiopeia,5.0
M53,NGC 5024,,cl-G,58,Coma Berenices,8.3
M54,NGC 6715,,cl-G,87.4,Sagittarius,8.4
M55,NGC 6809,,cl-G,17.6,Sagittarius,7.4
M56,NGC 6779,,cl-G,32.9,Lyra,8.3
M57,NGC 6720,Ring Nebula,Neb-P,1.6-3.8,Lyra,8.8
M58,NGC 4579,,gal-SB,~63000,Virgo,10.5
M59,NGC 4621,,gal-E,55000-65000,Virgo,10.6
M60,NGC 4649,,gal-E,51000-59000,Virgo,9.8
M61,NGC 4303,,gal-S,50200-54800,Virgo,10.2
